iter	Logloss
0	0.6885045914
1	0.6843152712
2	0.6806566235
3	0.6762136735
4	0.6718837871
5	0.6678302554
6	0.6644510585
7	0.6602076617
8	0.6570511166
9	0.6535404738
10	0.6498729385
11	0.6467383371
12	0.6432877908
13	0.6389092815
14	0.6356025382
15	0.6321251487
16	0.6288505515
17	0.6252691751
18	0.6221276791
19	0.6197210797
20	0.6172590979
21	0.6140190845
22	0.6109732425
23	0.6080730459
24	0.6044890767
25	0.6017367229
26	0.5985226246
27	0.5952204644
28	0.592039645
29	0.589206682
30	0.5858785282
31	0.5830319031
32	0.5804863993
33	0.5775370331
34	0.5746364237
35	0.5718765679
36	0.5691109269
37	0.5662423231
38	0.5640782336
39	0.56150038
40	0.5594345779
41	0.5563973893
42	0.5543956838
43	0.5523991345
44	0.5499806986
45	0.5480326115
46	0.5456923718
47	0.543354678
48	0.5410216938
49	0.5383014095
50	0.53627422
51	0.5339422522
52	0.5323423549
53	0.5301869277
54	0.5284764074
55	0.526244826
56	0.5243490498
57	0.5218626198
58	0.5199649209
59	0.5180924376
60	0.5158694006
61	0.5144151749
62	0.5124874496
63	0.5105735521
64	0.5087071289
65	0.5070866684
66	0.5056114819
67	0.5035998655
68	0.5016780387
69	0.5000747
70	0.4985561335
71	0.4969514406
72	0.49522278
73	0.4935518469
74	0.4920447535
75	0.49028447
76	0.4883203866
77	0.4868315099
78	0.4854469219
79	0.4838078608
80	0.4826679006
81	0.4810095485
82	0.4796184561
83	0.4781330031
84	0.4767960636
85	0.4757326705
86	0.474418509
87	0.4728960918
88	0.4716982997
89	0.4702640043
90	0.4689071414
91	0.4679270202
92	0.4663218556
93	0.4651593895
94	0.4638686418
95	0.4624007677
96	0.4611198805
97	0.4603005827
98	0.4590425001
99	0.4578786295
100	0.4566002846
101	0.4553402715
102	0.4539284911
103	0.4526900956
104	0.4513120678
105	0.4503482299
106	0.4488456214
107	0.447667857
108	0.4465023226
109	0.4454501443
110	0.4442446544
111	0.4435038921
112	0.4421594237
113	0.4413090875
114	0.4402011071
115	0.4393471396
116	0.4385213214
117	0.4375375113
118	0.4362801704
119	0.4351756789
120	0.4340023575
121	0.4330732359
122	0.4319865153
123	0.4310248642
124	0.430242972
125	0.4293107215
126	0.4285611228
127	0.4275893448
128	0.4264007367
129	0.425285592
130	0.4239874617
131	0.4230039296
132	0.4221385031
133	0.4212080699
134	0.4203710654
135	0.4191564689
136	0.4182033793
137	0.4175448882
138	0.4168712657
139	0.416040242
140	0.4154863878
141	0.4144995276
142	0.4135849816
143	0.4128323967
144	0.4118611125
145	0.4108907064
146	0.4102560676
147	0.4095234197
148	0.4085868827
149	0.4077252093
150	0.4070542956
151	0.4064038775
152	0.4054324606
153	0.4045365421
154	0.4038596293
155	0.4031354969
156	0.4023211641
157	0.401370657
158	0.4004599844
159	0.3996496506
160	0.398994158
161	0.3982025795
